column,dtype,missing_values,missing_pct,unique_values,leakage_for_prediction
sentiment_score,float64,0,0.0,9038,True
sentiment_label,str,0,0.0,3,True
toxicity_score,float64,0,0.0,6987,True
likes_count,float64,0,0.0,4463,True
shares_count,float64,0,0.0,1951,True
comments_count,int64,0,0.0,1001,True
impressions,int64,0,0.0,11279,True
engagement_rate,float64,0,0.0,9363,True
total_interactions,float64,0,0.0,5605,True
er_recalc,float64,0,0.0,11996,True
toxicity_bin,str,0,0.0,5,True
er_normalized,float64,0,0.0,11369,True
composite_score,float64,0,0.0,12000,True
log_engagement,float64,0,0.0,9363,True
authentic_success_ev3,int64,0,0.0,2,True
mentions,str,3941,32.842,225,False
post_id,str,0,0.0,12000,False
timestamp,datetime64[us],0,0.0,11997,False
day_of_week,str,0,0.0,7,False
platform,str,0,0.0,5,False
user_id,str,0,0.0,12000,False
location,str,0,0.0,33,False
language,str,0,0.0,10,False
text_content,str,0,0.0,11997,False
hashtags,str,0,0.0,4490,False
keywords,str,0,0.0,9342,False
topic_category,str,0,0.0,6,False
emotion_type,str,0,0.0,5,False
brand_name,str,0,0.0,10,False
product_name,str,0,0.0,70,False
campaign_name,str,0,0.0,23,False
campaign_phase,str,0,0.0,3,False
user_past_sentiment_avg,float64,0,0.0,9050,False
user_engagement_growth,float64,0,0.0,6966,False
buzz_change_rate,float64,0,0.0,1956,False
er_segment,str,0,0.0,3,False
country_extracted,str,0,0.0,19,False
country_norm,str,0,0.0,19,False
platform_norm,str,0,0.0,5,False
year,int64,0,0.0,2,False
month,int64,0,0.0,12,False
hour,int64,0,0.0,24,False
source_loaded_from,str,0,0.0,1,False
exists_in_raw_source,bool,0,0.0,1,False
er_recalc_ev3,float64,0,0.0,11998,False
fake_engagement_flag,int64,0,0.0,2,False
authentic_success_rule,str,0,0.0,1,False
text_len,int64,0,0.0,105,False
word_count,int64,0,0.0,10,False
hashtag_count,int64,0,0.0,3,False
mention_count,int64,0,0.0,3,False
has_question,int64,0,0.0,2,False
has_exclamation,int64,0,0.0,2,False
campaign_objective,str,0,0.0,5,False
target_segment,str,0,0.0,5,False
planned_budget_usd,int64,0,0.0,23,False
priority_level,str,0,0.0,3,False
external_source_type,str,0,0.0,1,False
metadata_source,str,0,0.0,1,False
etl_processed_at,str,0,0.0,1,False
